Flow Type,Source,Destination / FQDN,Port,Protocol,Direction,Purpose,Mandatory
Inbound,End-user workstation / browser,CAST Imaging Web Server (Node),443 (or 80 redirect to 443),HTTPS/TCP,Inbound to server,Access to CAST Imaging Console / Viewer web UI,Mandatory
Inbound,End-user workstation / browser,CAST Imaging Web Server (Node),80,HTTP/TCP,Inbound to server,Plain HTTP access (should be disabled / redirected once HTTPS is configured),Optional (disable in production)
Inbound,Reverse proxy / Load balancer,CAST Imaging Node (nginx front-end container/service),8080 (default internal),HTTP/TCP,Inbound to server,Reverse-proxy to CAST Imaging internal web front end when TLS is terminated externally,Conditional (if using external reverse proxy)
Inbound,CAST AIP Console / delivery workstation,CAST Imaging Node,443/80,HTTPS/HTTP,Inbound to server,Delivery of application packages (json/zip) into CAST Imaging,Mandatory
Inbound,Administrator workstation,CAST Imaging Node (OS level),22 (Linux) / 3389 (Windows),SSH/RDP,Inbound to server,Server administration and maintenance,Mandatory
Inbound,Kubernetes API clients / kubectl,Kubernetes API server,6443,TCP,Inbound to cluster,Cluster administration (Kubernetes topology only),Conditional (Kubernetes only)
Internal,CAST Imaging Node (application services),CAST Imaging Database (PostgreSQL),5432,TCP,Server-to-DB,"Application access to the Imaging database (schemas, results, dashboards)",Mandatory
Internal,CAST Imaging Node,CAST Imaging Database (SQL Server - legacy/optional),1433,TCP,Server-to-DB,Alternate supported RDBMS for the Imaging database,Conditional (per DB engine choice)
Internal,Multi-machine: Web/App node,Multi-machine: Services/DB node,Varies (5432 / 8080 / internal API ports per module),TCP,Server-to-server,Inter-node communication in a distributed multi-machine topology,Conditional (multi-machine topology only)
Internal,Docker/Podman host,Container registry (local or CAST-provided),443,HTTPS,Outbound from host,Pulling CAST Imaging container images during install/upgrade,Mandatory (container platforms)
Internal,Kubernetes worker nodes,Kubernetes control plane / etcd,2379-2380; 10250-10259,TCP,Cluster-internal,Standard Kubernetes control-plane and kubelet communication,Conditional (Kubernetes only)
Outbound,CAST Imaging Node,extend.castsoftware.com,443,HTTPS,Outbound,"Access to CAST Extend catalog for extension/technology packages, updates and licensing artifacts",Mandatory
Outbound,CAST Imaging Node,cloud.casthighlight.com,443,HTTPS,Outbound,CAST Highlight SaaS portal / MRI API integration (if Highlight-Imaging integration is enabled),Conditional (Highlight integration)
Outbound,CAST Imaging Node,auth.casthighlight.com,443,HTTPS,Outbound,OAuth2 authentication endpoint for CAST Highlight integration,Conditional (Highlight integration)
Outbound,CAST Imaging Node,casthighlight-binaries.s3.amazonaws.com,443,HTTPS,Outbound,Download of CAST Highlight analysis engines/binaries,Conditional (Highlight integration)
Outbound,CAST Imaging MCP Server / AI features,LLM API endpoint (e.g. api.openai.com; api.anthropic.com - exact FQDN depends on configured provider),443,HTTPS,Outbound,"Calls to the configured Large Language Model provider for AI-assisted / natural-language features (chat, MCP tool responses)",Conditional (AI / MCP features enabled)
Outbound,CAST Imaging MCP Gatekeeper,Identity Provider (OAuth/OIDC issuer FQDN - customer specific),443,HTTPS,Outbound / Inbound,Token validation and OAuth2 flows for MCP client authentication (Gatekeeper),Conditional (MCP OAuth enabled)
Outbound,CAST Imaging Node,Internal source code repositories (Git servers),22,SSH/TCP,Outbound,Git clone/fetch of source code for analysis delivery pipelines,Conditional (Git-based delivery)
Outbound,CAST Imaging Node,Internal source code repositories (Git over HTTPS / SVN / Azure DevOps / GitHub / GitLab),443,HTTPS,Outbound,Source code retrieval over HTTPS for analysis delivery pipelines,Conditional (HTTPS-based delivery)
Outbound,CAST Imaging Node,Internal file shares (SMB),445,SMB/TCP,Outbound,Access to network shares hosting source code or delivery packages,Conditional (SMB-based delivery)
Outbound,CAST Imaging Node,SAML Identity Provider (customer IdP FQDN),443,HTTPS,Outbound / Inbound (browser redirect),SAML 2.0 SSO metadata exchange and assertion validation,Conditional (SAML authentication)
Outbound,CAST Imaging Node,LDAP / Active Directory server,389 (LDAP) / 636 (LDAPS),TCP,Outbound,Directory lookup and authentication for LDAP integration,Conditional (LDAP authentication)
Outbound,CAST Imaging Node,SMTP relay,25 / 587 / 465,TCP,Outbound,Optional email notifications (if configured),Optional
Outbound,CAST Imaging Node,NTP server,123,UDP,Outbound,Time synchronization (recommended for certificate validation and log correlation),Recommended
Outbound,CAST Imaging Node,DNS server,53,UDP/TCP,Outbound,Name resolution for all FQDNs listed above,Mandatory
